[[4.181541878766809], [6.412767375240315], [6.640564268218151], [5.521000212630873], [4.181541878766809], [5.688968433714037]]
[[5.521000212630873], [6.640564268218151], [6.1223284041431105], [3.433804459737971], [5.521000212630873], [5.429424336182526]]
[[3.433804459737971], [6.1223284041431105], [6.088799073066212], [2.911405526336305], [3.433804459737971], [4.6390843658209]]
[[6.412767375240315], [9.108917650662487], [9.661541761350518], [6.640564268218151], [6.412767375240315], [7.955947763867867]]
[[6.640564268218151], [9.661541761350518], [9.417295035075805], [6.1223284041431105], [6.640564268218151], [7.960432367196896]]
[[6.1223284041431105], [9.417295035075805], [9.01935285921592], [6.088799073066212], [6.1223284041431105], [7.661943842875262]]
[[9.108917650662487], [12.089297072575205], [12.215877093128869], [9.661541761350518], [9.108917650662487], [10.76890839442927]]
[[9.661541761350518], [12.215877093128869], [12.513202421346922], [9.417295035075805], [9.661541761350518], [10.951979077725527]]
[[9.417295035075805], [12.513202421346922], [12.27451986984564], [9.01935285921592], [9.417295035075805], [10.806092546371072]]
----------[[4.131857605399536], [3.993021172609907], [6.379639723384497], [6.857177446390583], [4.131857605399536], [5.3404239869461305]]
[[6.857177446390583], [6.379639723384497], [9.025869542130218], [8.884202390908582], [6.857177446390583], [7.78672227570347]]
[[8.884202390908582], [9.025869542130218], [11.741849879464821], [12.0892808512009], [8.884202390908582], [10.435300665926132]]
[[3.993021172609907], [2.6542919554573086], [5.449756082115833], [6.379639723384497], [3.993021172609907], [4.619177233391887]]
[[6.379639723384497], [5.449756082115833], [9.420437248357896], [9.025869542130218], [6.379639723384497], [7.56892564899711]]
[[9.025869542130218], [9.420437248357896], [12.1101169096119], [11.741849879464821], [9.025869542130218], [10.574568394891209]]
[[2.6542919554573086], [2.911383951550001], [5.935378378548566], [5.449756082115833], [2.6542919554573086], [4.237702591917927]]
[[5.449756082115833], [5.935378378548566], [9.162611789291455], [9.420437248357896], [5.449756082115833], [7.492045874578438]]
[[9.420437248357896], [9.162611789291455], [12.288715511073443], [12.1101169096119], [9.420437248357896], [10.745470364583674]]
